Date,Elo
2008-01-16,1014.62
2008-01-18,1018.54
2008-01-22,1024.15
2008-01-24,997.29
2008-02-20,1002.73
2008-02-21,973.52
2008-03-04,979.79
2008-03-05,981.35
2008-03-06,961.37
2008-03-15,963.17
2008-03-17,964.58
2008-03-19,972.31
2008-03-21,981.57
2008-03-22,965.55
2008-03-28,967.72
2008-03-30,975.0
2008-04-01,983.1
2008-04-02,992.87
2008-04-04,1000.9
2008-04-06,978.51
2008-04-23,988.11
2008-04-24,994.07
2008-04-25,1004.39
2008-04-26,1016.21
2008-04-27,1035.84
2008-04-30,1037.98
2008-05-01,1041.65
2008-05-02,1044.09
2008-05-03,1046.61
2008-05-04,1055.65
2008-05-07,1028.18
2008-05-14,1030.48
2008-05-15,1038.68
2008-05-16,1042.18
2008-05-17,1057.31
2008-05-18,1073.99
2008-05-28,1075.05
2008-05-29,1075.97
2008-05-30,1078.2
2008-06-01,1082.41
2008-06-03,1087.68
2008-06-06,1100.72
2008-06-08,1115.75
2008-06-11,1116.95
2008-06-12,1118.12
2008-06-13,1121.37
2008-06-14,1130.18
2008-06-15,1141.67
2008-06-24,1142.45
2008-06-26,1144.03
2008-06-28,1147.79
2008-06-30,1151.08
2008-07-02,1156.51
2008-07-04,1157.46
2008-07-06,1170.98
2008-07-24,1171.55
2008-07-25,1173.93
2008-07-26,1176.97
2008-07-27,1182.61
2008-07-27,1186.99
2008-07-31,1187.74
2008-08-01,1190.37
2008-08-02,1191.57
2008-08-03,1167.31
2008-08-25,1167.74
2008-08-29,1168.48
2008-08-30,1169.72
2008-09-01,1171.55
2008-09-04,1173.92
2008-09-06,1149.99
2008-10-14,1151.86
2008-10-16,1154.88
2008-10-17,1156.55
2008-10-18,1128.59
2008-10-29,1129.7
2008-10-30,1133.93
2009-01-06,1135.68
2009-01-07,1136.54
2009-01-08,1108.7
2009-01-20,1109.6
2009-01-22,1110.26
2009-01-24,1113.84
2009-01-26,1117.89
2009-01-28,1123.74
2009-01-30,1129.35
2009-02-01,1143.45
2009-02-11,1144.95
2009-02-12,1145.8
2009-02-13,1152.0
2009-02-14,1156.97
2009-02-15,1137.01
2009-03-16,1137.61
2009-03-18,1139.61
2009-03-19,1146.13
2009-03-20,1152.39
2009-03-21,1161.3
2009-03-22,1175.07
2009-03-29,1175.91
2009-03-30,1177.14
2009-04-01,1179.62
2009-04-02,1153.39
2009-04-15,1154.7
2009-04-17,1155.98
2009-04-17,1157.86
2009-04-18,1173.09
2009-04-19,1183.11
2009-04-22,1184.41
2009-04-23,1185.15
2009-04-25,1190.18
2009-04-26,1194.14
2009-04-29,1195.2
2009-04-30,1197.1
2009-05-01,1202.3
2009-05-02,1206.55
2009-05-03,1216.35
2009-05-13,1217.47
2009-05-15,1222.51
2009-05-16,1232.02
2009-05-17,1209.42
2009-05-25,1209.72
2009-05-27,1210.33
2009-05-29,1212.67
2009-05-31,1182.7
2009-08-13,1184.0
2009-08-15,1160.21
2009-08-19,1161.99
2009-08-20,1164.12
2009-08-21,1166.72
2009-08-22,1144.2
2009-09-02,1147.54
2009-09-05,1150.17
2009-09-06,1152.19
2009-09-09,1156.21
2009-09-12,1162.38
2009-09-13,1141.45
2009-10-06,1143.14
2009-10-08,1145.67
2009-10-09,1147.17
2009-10-10,1119.41
2009-10-14,1122.48
2009-10-15,1125.81
2009-10-18,1103.77
2009-11-11,1106.28
2009-11-12,1110.29
2009-11-13,1116.63
2009-11-14,1100.38
2009-11-23,1076.22
2009-11-25,1054.39
2009-11-27,1041.25
2010-01-05,1043.38
2010-01-06,1045.2
2010-01-08,1049.11
2010-01-09,1033.18
2010-01-18,1034.21
2010-01-20,1035.6
2010-01-22,1040.03
2010-01-24,1044.72
2010-03-14,1045.91
2010-03-15,1052.34
2010-03-17,1058.58
2010-03-19,1063.76
2010-03-20,1037.48
2010-03-26,1039.13
2010-03-28,1047.44
2010-03-30,1054.01
2010-04-01,1063.21
2010-04-02,1043.59
2010-04-14,1045.31
2010-04-15,1047.75
2010-04-16,1055.16
2010-04-17,1062.44
2010-04-18,1072.14
2010-04-28,1076.23
2010-04-29,1078.74
2010-04-30,1085.66
2010-05-01,1090.43
2010-05-02,1098.68
2010-05-12,1099.48
2010-05-13,1103.97
2010-05-14,1108.95
2010-05-15,1113.76
2010-05-16,1127.4
2010-05-25,1128.18
2010-05-28,1129.22
2010-05-29,1132.89
2010-05-31,1135.7
2010-06-02,1140.6
2010-06-04,1145.35
2010-06-06,1152.73
2010-06-09,1153.11
2010-06-10,1154.14
2010-06-11,1124.28
2010-06-22,1125.6
2010-06-24,1126.49
2010-06-26,1129.27
2010-06-28,1130.94
2010-06-30,1139.6
2010-07-02,1148.28
2010-07-04,1155.24
2010-08-11,1159.06
2010-08-12,1160.12
2010-08-13,1162.63
2010-08-14,1138.85
2010-08-18,1140.02
2010-08-19,1142.4
2010-08-20,1113.69
2010-09-01,1114.61
2010-09-04,1116.79
2010-09-05,1119.51
2010-09-08,1122.17
2010-09-10,1128.32
2010-09-11,1133.25
2010-09-12,1144.97
2010-09-30,1145.64
2010-10-01,1146.62
2010-10-02,1116.65
2010-10-05,1117.43
2010-10-07,1118.45
2010-10-08,1120.29
2010-10-09,1123.31
2010-10-10,1128.27
2010-10-13,1133.57
2010-10-14,1105.07
2010-11-22,1113.31
2010-11-24,1125.76
2010-11-26,1129.49
2010-11-27,1140.04
2010-11-28,1124.35
2011-01-04,1124.83
2011-01-05,1125.89
2011-01-06,1128.97
2011-01-07,1101.77
2011-01-20,1102.57
2011-01-22,1103.58
2011-01-24,1107.05
2011-01-26,1083.95
2011-03-13,1084.62
2011-03-14,1085.88
2011-03-17,1087.73
2011-03-18,1090.96
2011-03-19,1102.56
2011-03-20,1088.3
2011-03-27,1090.31
2011-03-28,1092.59
2011-03-30,1096.96
2011-04-01,1103.61
2011-04-02,1121.92
2011-04-03,1108.1
2011-04-13,1110.63
2011-04-14,1116.06
2011-04-15,1120.08
2011-04-16,1128.86
2011-04-17,1137.64
2011-04-20,1138.34
2011-04-21,1139.95
2011-04-22,1146.6
2011-04-23,1149.39
2011-04-24,1158.09
2011-05-04,1160.09
2011-05-06,1162.89
2011-05-07,1177.35
2011-05-08,1162.35
2011-05-11,1162.84
2011-05-12,1166.08
2011-05-13,1169.34
2011-05-14,1173.98
2011-05-15,1160.52
2011-05-24,1162.35
2011-05-26,1163.61
2011-05-28,1164.41
2011-05-30,1167.69
2011-06-01,1176.0
2011-06-03,1183.3
2011-06-05,1197.26
2011-06-08,1197.93
2011-06-09,1200.17
2011-06-10,1171.21
2011-06-20,1171.86
2011-06-22,1172.93
2011-06-25,1173.71
2011-06-27,1182.63
2011-06-29,1187.12
2011-07-01,1196.03
2011-07-02,1182.13
2011-08-11,1151.62
2011-08-17,1152.94
2011-08-18,1156.43
2011-08-19,1131.54
2011-08-31,1132.25
2011-09-04,1137.03
2011-09-08,1138.45
2011-09-09,1144.13
2011-09-10,1155.68
2011-09-12,1145.33
2011-10-04,1145.77
2011-10-06,1148.31
2011-10-07,1150.23
2011-10-08,1158.13
2011-10-09,1138.25
2011-10-12,1139.38
2011-10-13,1110.6
2011-11-20,1118.98
2011-11-22,1104.15
2011-11-24,1081.43
2012-01-03,1084.66
2012-01-04,1085.54
2012-01-05,1089.12
2012-01-06,1064.57
2012-01-16,1065.2
2012-01-18,1068.14
2012-01-20,1069.91
2012-01-22,1076.05
2012-01-24,1087.44
2012-01-26,1108.25
2012-01-29,1097.93
2012-03-11,1099.09
2012-03-13,1102.51
2012-03-14,1105.65
2012-03-16,1112.02
2012-03-18,1101.1
2012-03-24,1104.09
2012-03-26,1107.57
2012-03-27,1111.78
2012-03-29,1121.42
2012-04-18,1124.18
2012-04-19,1125.82
2012-04-20,1130.32
2012-04-21,1134.6
2012-04-22,1155.47
2012-04-25,1156.78
2012-04-26,1157.46
2012-04-27,1162.23
2012-04-28,1165.74
2012-04-29,1175.0
2012-05-09,1176.96
2012-05-10,1148.42
2012-05-16,1150.68
2012-05-17,1152.88
2012-05-18,1163.15
2012-05-19,1173.44
2012-05-21,1191.87
2012-05-29,1192.46
2012-05-31,1193.72
2012-06-02,1194.32
2012-06-04,1198.93
2012-06-06,1203.93
2012-06-08,1213.46
2012-06-10,1230.45
2012-06-14,1231.28
2012-06-15,1201.39
2012-06-26,1202.35
2012-06-28,1171.15
2013-02-06,1171.83
2013-02-08,1172.55
2013-02-10,1174.83
2013-02-10,1143.59
2013-02-14,1144.4
2013-02-15,1145.65
2013-02-16,1146.62
2013-02-17,1150.63
2013-02-27,1151.33
2013-02-28,1152.24
2013-03-01,1153.34
2013-03-02,1158.25
2013-03-03,1172.48
2013-03-10,1173.53
2013-03-14,1176.23
2013-03-15,1190.81
2013-03-16,1199.43
2013-03-17,1210.53
2013-04-17,1211.44
2013-04-18,1213.42
2013-04-19,1216.01
2013-04-20,1221.99
2013-04-21,1207.91
2013-04-24,1209.04
2013-04-26,1210.36
2013-04-26,1211.67
2013-04-27,1215.48
2013-04-28,1219.19
2013-05-08,1220.4
2013-05-09,1222.0
2013-05-10,1230.68
2013-05-11,1231.27
2013-05-12,1236.87
2013-05-15,1238.52
2013-05-16,1240.84
2013-05-17,1248.68
2013-05-18,1255.27
2013-05-19,1265.32
2013-05-27,1266.07
2013-05-31,1266.57
2013-06-01,1268.04
2013-06-03,1270.84
2013-06-05,1275.96
2013-06-07,1290.02
2013-06-09,1297.07
2013-06-24,1265.58
2013-08-07,1265.91
2013-08-08,1267.48
2013-08-10,1268.17
2013-08-11,1282.26
2013-08-11,1284.49
2013-08-15,1284.94
2013-08-16,1286.65
2013-08-17,1293.06
2013-08-17,1297.35
2013-08-18,1299.99
2013-08-26,1300.58
2013-08-30,1300.81
2013-08-31,1302.11
2013-09-03,1303.57
2013-09-05,1305.75
2013-09-07,1308.31
2013-09-09,1319.57
2013-10-01,1319.89
2013-10-02,1321.27
2013-10-04,1323.04
2013-10-06,1301.63
2013-10-09,1302.53
2013-10-10,1303.41
2013-10-11,1307.05
2013-10-12,1280.41
2013-10-30,1281.78
2013-10-31,1283.02
2013-11-01,1286.16
2013-11-02,1258.15
2013-11-05,1263.28
2013-11-06,1267.7
2013-11-08,1271.66
2013-11-10,1278.59
2013-11-11,1262.92
2013-12-31,1263.57
2014-01-01,1264.17
2014-01-02,1266.06
2014-01-03,1266.56
2014-01-04,1269.16
2014-01-16,1269.56
2014-01-18,1272.23
2014-01-20,1274.4
2014-01-22,1277.02
2014-01-24,1284.07
2014-01-26,1257.75
2014-02-18,1258.1
2014-02-20,1258.68
2014-02-22,1259.41
2014-02-22,1260.04
2014-02-23,1261.3
2014-03-09,1262.81
2014-03-11,1232.32
2014-03-23,1234.3
2014-03-24,1235.72
2014-03-26,1239.17
2014-03-27,1242.97
2014-03-30,1228.81
2014-04-16,1229.42
2014-04-17,1230.74
2014-04-18,1203.84
2014-04-23,1204.77
2014-04-24,1206.12
2014-04-25,1176.92
2014-05-07,1178.26
2014-05-08,1179.39
2014-05-09,1186.57
2014-05-10,1189.65
2014-05-14,1190.94
2014-05-15,1193.19
2014-05-16,1201.15
2014-05-17,1206.42
2014-05-18,1194.0
2014-05-26,1194.64
2014-05-29,1195.92
2014-05-31,1197.1
2014-06-02,1197.74
2014-06-04,1204.63
2014-06-06,1212.92
2014-06-08,1233.35
2014-06-12,1202.04
2014-06-24,1203.85
2014-06-26,1205.01
2014-06-28,1205.76
2014-07-01,1174.56
2014-09-30,1177.78
2014-10-02,1178.64
2014-10-03,1148.62
2014-10-08,1120.27
2014-10-20,1121.67
2014-10-22,1122.62
2014-10-24,1091.76
2015-01-06,1060.79
2015-01-19,1063.4
2015-01-21,1065.15
2015-01-23,1067.17
2015-01-25,1071.97
2015-01-27,1050.42
2015-02-17,1052.83
2015-02-19,1054.28
2015-02-21,1059.2
2015-02-21,1030.44
2015-02-26,1031.39
2015-02-28,1032.96
2015-02-28,1035.67
2015-03-01,1039.66
2015-03-16,1040.66
2015-03-17,1044.42
2015-03-18,1051.82
2015-03-20,1031.67
2015-03-27,1037.76
2015-03-29,1010.37
