Name,Elo,Wins,Losses,MatchesPlayed
Baker B.,513.44,20,33,53
Cakl T.,428.26,3,9,12
Ferreiro F.,500.76,2,3,5
Braga P.,482.02,0,1,1
Rosset M.,453.15,4,8,12
Norman D.,408.66,9,27,36
Hernandez A.,463.27,1,4,5
Gallardo M.,467.74,0,2,2
Dell'Acqua M.,471.04,1,4,5
Al Ghareeb M.,466.56,0,5,5
Bahrouzyan O.,462.84,0,3,3
Zib T.,392.94,27,60,87
Evans B.,443.98,6,15,21
Phillips T.,484.27,0,1,1
Marcaccio G.,488.06,2,3,5
Allegro Y.,485.23,0,1,1
Larose S.,485.6,1,2,3
Browne F.,500.01,1,1,2
Hernych J.,592.3,74,111,185
Boutter J.,430.81,0,5,5
Mazarakis V.,468.19,0,3,3
Savolt A.,466.77,0,2,2
Tavares L.,489.95,1,2,3
Rocha D.,516.0,1,0,1
Vanek J.,424.91,34,70,104
Odesnik W.,508.68,40,55,95
Robert S.,446.43,37,75,112
Faurel J.C.,456.87,2,7,9
Veronelli D.,483.39,0,1,1
Peya A.,360.51,14,40,54
Garcia-Lopez G.,505.22,286,346,632
Burniol G.,471.29,0,2,2
Almagro N.,656.5,370,257,627
Vicente F.,313.55,11,33,44
Eschauer W.,361.49,8,25,33
Matos-Gil I.,474.52,0,2,2
Calatrava A.,399.81,12,27,39
Devilder N.,415.34,21,47,68
Lisnard J.,446.64,1,4,5
Vico U.,464.25,2,5,7
Chela J.,523.36,3,2,5
Perez D.,464.59,0,2,2
Navarro S.,482.25,0,1,1
Waske A.,439.93,21,38,59
Pashanski B.,423.27,22,47,69
Kratochvil M.,442.61,5,9,14
Kindlmann D.,422.43,1,11,12
di Mauro A.,389.37,14,34,48
Pescosolido S.,462.73,1,4,5
Abel M.,482.75,0,1,1
Elseneer G.,393.82,6,16,22
Tahiri M.,472.02,1,3,4
Sabau R.,360.6,9,25,34
Ventura S.,398.22,37,57,94
Vagnozzi S.,476.86,3,7,10
Guzman J.P.,414.22,6,14,20
El Aarej M.,466.44,0,2,2
Krajan Z.,492.92,1,2,3
di Pasquale A.,415.86,2,9,11
Rehnquist B.,472.95,3,8,11
Koellerer D.,455.03,19,31,50
Armando H.,474.41,9,15,24
Stoppini A.,480.12,3,8,11
Zimonjic N.,481.95,2,5,7
Serra F.,424.38,115,166,281
Haehnel J.,397.48,8,18,26
Jeanpierre J.,522.06,3,2,5
Gicquel M.,463.01,88,107,195
Voltchkov V.,477.52,2,4,6
Tipsarevic J.,557.68,233,212,445
Starace P.,534.19,140,175,315
Kim K.,368.5,36,80,116
Falla A.,507.47,90,153,243
Prinosil D.,485.43,0,1,1
Chiudinelli M.,436.12,44,81,125
Berrer M.,468.27,81,138,219
Marray J.,472.44,4,7,11
Dancevic F.,487.8,51,81,132
Parmar A.,471.03,3,7,10
Whitehouse W.,498.33,4,5,9
Delgado J.,478.91,3,6,9
Lu Y.H.,561.05,136,193,329
Ancic I.,521.37,2,1,3
Flanagan I.,516.64,2,1,3
Suzuki T.,542.75,8,9,17
Bastl G.,418.21,10,25,35
Kohlmann M.,496.81,6,7,13
Wessels P.,509.43,12,17,29
Scherrer J.C.,472.09,1,3,4
Petzschner P.,567.82,81,96,177
Qureshi A.,497.7,4,6,10
Childs L.,452.94,0,3,3
Bogdanovic A.,406.98,8,21,29
Fitz S.,485.04,0,1,1
Bloomfield R.,451.16,4,11,15
Navarro-Pastor I.,443.72,33,65,98
Sa A.,457.72,1,4,5
Delgado R.,429.53,7,17,24
Hilton M.,487.52,1,2,3
Ram A.,448.11,1,5,6
Wang Y.T.,485.57,13,26,39
Hellstrom M.,484.71,0,1,1
Gabashvili T.,459.17,104,190,294
Verdasco M.,505.96,1,1,2
Eleskovic E.,455.9,2,7,9
Gimelstob J.,409.69,23,44,67
Ram R.,503.84,54,88,142
Mertinak M.,433.73,4,9,13
van der Meer N.,484.44,0,1,1
van Gemerden M.,465.8,3,6,9
Przysiezny M.,397.42,17,57,74
Thomann N.,442.77,2,8,10
Cook L.,483.28,0,1,1
Phau B.,517.65,67,114,181
Beck A.,408.76,37,60,97
Andersen J.F.,480.7,1,2,3
Rieschick S.,468.7,1,3,4
de Voest R.,485.55,9,15,24
Lu Y.,415.23,1,10,11
Mathieu P.H.,471.27,219,231,450
Ager J.,484.0,0,1,1
Schukin Y.,511.0,12,17,29
Schiessling T.,483.12,0,1,1
Minar I.,457.05,30,61,91
Gimeno D.,487.14,0,1,1
Tuksar S.,439.69,0,5,5
Djokovic N.,1093.56,1027,193,1220
Nestor D.,485.21,0,1,1
Urban F.,483.31,0,1,1
Kubot L.,513.44,79,118,197
Baghdatis M.,598.41,311,248,559
Reynolds B.,430.87,27,70,97
Jenkins S.,432.06,5,15,20
Ketola T.,478.43,1,2,3
Benneteau A.,482.93,0,1,1
Baccanello P.,467.01,1,4,5
Zhu B.Q.,479.82,1,2,3
Healey N.,452.62,4,11,15
Wang Y.,459.63,0,3,3
Tsonga J.W.,602.58,428,213,641
Lu H.,502.48,1,1,2
Ionita V.,454.65,0,3,3
Bohane A.,484.02,0,1,1
Pedroso A.,486.24,0,1,1
Widom T.,527.16,5,5,10
Boeker M.,484.11,1,3,4
Crabb J.,481.53,0,1,1
Wassen R.,500.61,1,1,2
Iwabuchi S.,429.7,2,7,9
Aldi F.,439.53,1,6,7
Gimeno-Traver D.,482.63,87,165,252
Puerta M.,557.4,37,26,63
Zeng S.X.,484.44,1,4,5
Roger-Vasselin E.,547.31,77,120,197
Klec I.,424.28,1,7,8
Motomura G.,456.06,2,5,7
Iwami T.,466.23,0,2,2
Terachi T.,480.74,2,3,5
Simon G.,612.89,479,364,843
Monfils G.,790.28,537,301,838
Kunitsyn I.,389.27,81,142,223
Stakhovsky S.,507.09,140,180,320
Stoliarov A.,487.08,0,1,1
Gruber K.,485.41,0,1,1
Rascon T.,484.4,0,1,1
Elgin M.,458.93,2,7,9
Settergren J.,483.05,0,1,1
Ryderstedt M.,462.94,7,12,19
Kimmich M.,469.92,0,3,3
Abdulla M.,486.03,0,1,1
Luzzi F.,448.98,5,12,17
Bourgeois L.,476.7,0,2,2
Nunez E.,483.17,0,1,1
Sun P.,451.58,1,4,5
Blake T.,482.53,0,1,1
Mackin A.,394.34,0,9,9
Parada F.,476.14,0,2,2
Harboe P.,486.19,0,1,1
Massa E.,486.09,7,8,15
Young D.,500.95,114,185,299
Silva J.,450.19,1,6,7
Dailey Z.,484.11,0,1,1
Minar J.,480.88,0,3,3
Kuznetsov A.,384.81,5,20,25
Tecau H.,485.58,0,1,1
Fogues F.,493.91,1,2,3
Murray A.,591.38,675,254,929
Machado R.,375.46,12,37,49
Condor F.,480.51,0,1,1
Summerer T.,425.89,1,8,9
Mathieu P.,477.36,0,3,3
Mirnegg M.,487.1,0,1,1
Daniel M.,357.88,18,54,72
Vik R.,406.58,18,35,53
Sela D.,585.27,116,165,281
Brzezicki J.P.,406.27,6,17,23
Dlouhy L.,424.67,19,47,66
Tenconi T.,486.32,0,1,1
Draper S.,472.12,0,3,3
Goodall J.,396.7,1,11,12
Uebel L.,494.35,0,1,1
Gremelmayr D.,462.88,30,52,82
Klein T.,484.43,0,1,1
Logtens P.,490.08,0,1,1
Rettenmaier T.,504.7,2,2,4
Sherwood D.,500.87,1,1,2
Vinciguerra A.,498.3,6,10,16
Fraile G.,405.54,0,7,7
Pospisil J.,450.51,1,7,8
Lammer M.,461.35,5,15,20
Oudsema S.,471.16,1,4,5
Vemic D.,458.23,5,10,15
Wilson B.,456.36,1,4,5
Mergea F.,498.41,1,1,2
Roitman S.,360.97,21,55,76
Zitko R.,482.49,0,1,1
Korteling S.,486.48,0,1,1
Washington M.,481.55,0,1,1
Thron A.,471.74,0,2,2
Greul S.,526.05,43,71,114
Berlocq C.,465.76,120,175,295
Marach O.,418.77,14,26,40
Hadad A.,499.73,2,2,4
Cilic M.,701.81,531,313,844
Bozoljac I.,436.9,8,17,25
Chadaj A.,498.45,1,1,2
Fyrstenberg M.,476.91,0,2,2
Smeets R.,447.37,1,8,9
Simmonds P.,472.86,0,3,3
Clayton A.,481.87,0,1,1
Bester P.,449.74,0,5,5
Steckley R.,481.2,0,1,1
Gregorc L.,538.7,6,7,13
Wang Y. Jr,498.68,1,1,2
Matsui T.,515.04,2,2,4
Crivoi V.,399.04,12,28,40
Fruttero J.P.,483.19,0,1,1
Chen T.,465.51,0,3,3
Do M.Q.,482.05,0,1,1
Soeda G.,461.5,29,76,105
Naso G.,406.88,2,11,13
Sanchez de Luna J.A.,488.21,0,1,1
Fognini F.,567.11,385,362,747
Ittogi T.,481.13,0,1,1
Kirillov E.,477.41,0,2,2
Ledovskikh M.,421.24,3,12,15
Eitzinger R.,487.1,3,6,9
Davletshin V.,486.06,0,1,1
Lorenzi P.,436.0,101,177,278
Junaid R.,474.44,0,2,2
Uppal V.,479.9,0,1,1
Bopanna R.,457.98,5,13,18
Sultan-Khalfan A.,487.34,0,1,1
King-Turner D.,426.5,0,6,6
Istomin D.,521.35,185,228,413
Adaktusson J.,486.64,0,1,1
Snobel P.,467.04,0,3,3
Cuadrado C.,519.05,3,2,5
Del Potro J.M.,931.33,399,153,552
Aguilar J.,481.29,1,4,5
Prodon E.,350.52,0,15,15
Korolev E.,523.58,67,86,153
Sidorenko A.,471.69,4,8,12
Querry S.,460.05,2,5,7
Warburg S.,460.02,4,10,14
Ghem A.,465.43,2,5,7
Van der Dium A.,479.11,0,1,1
Meffert D.,481.16,4,8,12
Gallardo Valles M.,493.22,0,1,1
Gonzalez S.,439.01,1,7,8
Witten J.,474.91,2,8,10
Balleret B.,470.4,2,8,10
Galvani S.,416.49,8,19,27
Granollers-Pujol M.,488.69,0,1,1
