Name,Elo,Wins,Losses,MatchesPlayed
Baker B.,486.74,1,2,3
Cakl T.,500.75,1,1,2
Ferreiro F.,484.2,0,1,1
Braga P.,482.02,0,1,1
Rosset M.,516.46,2,1,3
Norman D.,482.15,0,1,1
Hernandez A.,482.91,0,1,1
Gallardo M.,483.49,0,1,1
Dell'Acqua M.,468.91,0,2,2
Al Ghareeb M.,482.69,0,1,1
Bahrouzyan O.,486.11,0,1,1
Zib T.,504.08,1,1,2
Evans B.,483.85,0,1,1
Phillips T.,484.27,0,1,1
Marcaccio G.,482.72,0,1,1
Allegro Y.,485.23,0,1,1
Larose S.,500.59,1,1,2
Browne F.,483.24,0,1,1
Hernych J.,512.6,3,2,5
Boutter J.,483.7,0,1,1
Mazarakis V.,483.88,0,1,1
Savolt A.,484.96,0,1,1
Tavares L.,484.0,0,1,1
Rocha D.,516.0,1,0,1
Vanek J.,503.12,1,1,2
Odesnik W.,486.29,0,1,1
Robert S.,499.6,1,1,2
Faurel J.C.,484.0,0,1,1
Veronelli D.,483.39,0,1,1
Peya A.,481.58,0,1,1
Garcia-Lopez G.,485.45,0,1,1
Burniol G.,483.32,0,1,1
Almagro N.,482.09,1,2,3
Vicente F.,493.27,2,2,4
Eschauer W.,480.78,0,1,1
Matos-Gil I.,487.6,0,1,1
Calatrava A.,481.08,0,1,1
Devilder N.,499.84,1,1,2
Lisnard J.,496.78,1,1,2
Vico U.,485.34,0,1,1
Chela J.,526.65,2,1,3
Perez D.,483.41,0,1,1
Navarro S.,482.25,0,1,1
Waske A.,514.37,1,0,1
Pashanski B.,513.73,1,0,1
Kratochvil M.,515.19,1,0,1
Kindlmann D.,488.67,0,1,1
