Name,Elo,Wins,Losses,MatchesPlayed
Prieto S.,480,1,5,6
Cortes J.,495,0,1,1
Ondruska M.,470,1,7,8
Moya C.,1310,356,194,550
Dent T.,575,139,124,263
Nalbandian D.,1365,348,175,523
Ruud C.,1000,248,148,396
Fish M.,920,279,195,474
Kim K.,240,40,92,132
Harper-Griffith L.,490,0,2,2
Russell M.,165,74,141,215
Browne F.,475,11,16,27
Stoliarov A.,375,30,55,85
El Aarej M.,475,1,6,7
Tahiri M.,475,1,6,7
Youzhny M.,905,459,378,837
Willems R.,500,1,1,2
Wiltschnig H.,490,1,3,4
Coutelot N.,465,12,19,31
Mota B.,495,1,2,3
Marques N.,495,0,1,1
Burrieza O.,485,1,4,5
Lopez F.,545,472,463,935
Robredo T.,1345,504,335,839
Navarro S.,495,2,3,5
Puentes G.,450,6,16,22
Garcia M.,490,0,2,2
Coria G.,1035,204,97,301
Goellner M.K.,465,9,16,25
Fahlke A.,495,0,1,1
Delgado R.,390,29,51,80
Armando H.,415,13,30,43
Sabau R.,420,13,29,42
Furlan R.,465,5,12,17
Kohlmann M.,440,15,27,42
Melzer J.,570,310,296,606
Giner J.,495,2,3,5
Charpentier M.,470,1,7,8
Eschauer W.,390,14,36,50
Mahut N.,290,175,217,392
Serrano O.,490,3,5,8
Prodon E.,410,1,19,20
Savolt A.,425,26,41,67
Phau B.,195,71,132,203
Trifu G.,480,1,5,6
Witt A.,495,0,1,1
Cowan B.,470,5,11,16
Nestor D.,465,8,15,23
Lee M.,425,15,30,45
Wheaton D.,490,1,3,4
Landsberg J.,495,0,1,1
Palmer J.,500,2,2,4
Braasch K.,505,2,1,3
Boruszewski J.,495,0,1,1
Wassen R.,480,2,6,8
van Scheppingen D.,425,14,29,43
Gaudi I.,495,0,1,1
Bower J.,495,1,2,3
Godwin N.,465,10,17,27
Bhupathi M.,485,0,3,3
MacLagan M.,490,0,2,2
Rochus O.,280,208,252,460
Voltchkov V.,435,43,56,99
Timfjord N.,495,0,1,1
Fleischfresser T.,495,0,1,1
Arnold L.,495,0,1,1
Thomann N.,460,14,22,36
Thomas J.,490,0,2,2
Morrison J.,395,32,53,85
Verkerk M.,455,51,60,111
Davydenko N.,1325,461,296,757
Tiilikainen K.,490,0,2,2
Kempes E.,470,9,15,24
Filippini M.,490,0,2,2
Roitman S.,315,23,60,83
Elsner D.,435,8,21,29
Hernych J.,305,74,113,187
Miketa D.,495,0,1,1
Carretero R.,500,2,2,4
Peschek D.,495,0,1,1
Zovko L.,480,2,6,8
Martelli M.,495,2,3,5
Vajda I.,490,0,2,2
Kralert P.,490,1,3,4
Sanchez D.,350,79,109,188
Schranz W.,500,1,1,2
Moretti H.,495,0,1,1
Trimmel C.,490,0,2,2
Vasek R.,495,0,1,1
Fasching A.,495,0,1,1
Luzzi F.,445,16,27,43
Cabello F.,495,0,1,1
Mathieu P.H.,450,258,268,526
Cobolli S.,495,0,1,1
Nargiso D.,530,8,2,10
Malcor O.,490,0,2,2
Tramacchi P.,495,0,1,1
Larose S.,490,5,7,12
Niemeyer F.,440,4,16,20
Mor L.,495,0,1,1
Washington M.,485,1,4,5
Capalik K.,490,3,5,8
Caldwell D.,495,0,1,1
Harsanyi P.,490,0,2,2
Kim A.,425,8,23,31
Kauffmann C.,490,0,2,2
Lee H.T.,335,113,146,259
Simoni A.,455,10,19,29
Moldovan I.,480,1,5,6
Herm-Zahlava J.,490,0,2,2
Pescariu D.,495,1,2,3
Erlich J.,495,4,5,9
Kutsenko V.,480,3,7,10
Tarallo S.,500,1,1,2
Tong M.,495,0,1,1
Galimberti G.,450,5,15,20
Flygt K.,500,2,2,4
Friedl L.,485,1,4,5
Iwabuchi S.,465,3,10,13
Suzuki T.,495,18,19,37
Onoda M.,480,0,4,4
Miyao J.,490,0,2,2
Yoon Y.,495,3,4,7
Mlynarik Z.,495,0,1,1
Zhu B.Q.,485,1,4,5
Zhang Y.,495,0,1,1
Golovanov D.,475,0,5,5
Bachelot J.F,490,3,5,8
Kornienko I.,495,0,1,1
Childs L.,470,2,8,10
Freelove O.,495,0,1,1
Milligan L.,490,0,2,2
Nieminen J.,630,345,319,664
Froberg J.,500,1,1,2
Ortegren J.,500,1,1,2
Johansson J.,605,68,47,115
Sarstrand M.,490,0,2,2
Jones A.,465,2,9,11
Smith L.,495,0,1,1
Syed F.,495,0,1,1
Zimonjic N.,460,4,12,16
Schukin Y.,465,12,19,31
Fukarek O.,450,2,12,14
Breen M.,495,0,1,1
Perry T.,495,0,1,1
Svarc L.,490,0,2,2
Horna L.,430,110,124,234
Hirigoyen I.,490,1,3,4
Moyano D.,490,0,2,2
Tobon M.,500,1,1,2
Behr N.,495,4,5,9
Settergren J.,490,2,4,6
Koll H.,495,0,1,1
Arquez P.,495,0,1,1
Acasuso J.,550,175,165,340
Tursunov D.,570,213,199,412
Eagle J.,495,0,1,1
Bahrouzyan O.,470,0,6,6
Saretta F.,450,63,73,136
Vemic D.,470,6,12,18
Ginepri R.,465,183,190,373
Belal C.,495,0,1,1
Vacek J.,350,28,58,86
Couto E.,495,0,1,1
Montanes A.,325,242,277,519
Sousa T.,495,0,1,1
